type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
8,2021-11-12 15:12:21+0000,307,440.0,0.44009736,349.0,0.878,23.0
8,2021-11-12 15:04:29+0000,215,450.0,0.45061514,290.0,0.74,23.0
